"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU and Memory Workload Distribution","Total SM Elapsed Cycles","cycle","1111193944",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU and Memory Workload Distribution","Average SMSP Active Cycles","cycle","27355660.39",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU and Memory Workload Distribution","Total SMSP Elapsed Cycles","cycle","4444775776",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Source Counters","Branch Instructions Ratio","%","0.00",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Source Counters","Branch Instructions","inst","4612096",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Source Counters","Branch Efficiency","%","100",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Source Counters","Avg. Divergent Branches","branches","0",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","SourceCounters","","","","UncoalescedSharedAccess","OPT","This kernel has uncoalesced shared accesses resulting in a total of 524288 excessive wavefronts (0% of the total 320610304 wavefronts). Check the L1 Wavefronts Shared Excessive table for the primary source locations. The CUDA Best Practices Guide (https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html#shared-memory-in-matrix-multiplication-c-ab) has an example on optimizing shared memory accesses.","global","0.161"
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","5.00",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","SM Frequency","Mhz","585.00",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","27782920",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Memory Throughput","%","42.56",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","DRAM Throughput","%","14.72",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Duration","ms","47.49",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","77.18",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","L2 Cache Throughput","%","15.66",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","SM Active Cycles","cycle","27355717.88",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","96.63",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","SpeedOfLight","","","","SOLBottleneck","INF","This workload is utilizing greater than 80.0% of the available compute or memory performance of the device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing workloads in the Compute Workload Analysis section.","",""
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 32:1. The workload achieved 97% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","PM Sampling","Maximum Buffer Size","Mbyte","14.94",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","PM Sampling","Maximum Sampling Interval","cycle","20000",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","PM Sampling","# Pass Groups","","1",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Compute Workload Analysis","Executed Ipc Active","inst/cycle","2.28",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","2.24",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Compute Workload Analysis","Issue Slots Busy","%","56.01",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Compute Workload Analysis","Issued Ipc Active","inst/cycle","2.28",
"1","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Compute Workload Analysis","SM Busy","%","96.63",
